	DMDYC4J	DM21WBH	DMCVJK9	DM42PFT	DMSFWT7	DMH5RFU	DMF3DZX	DM38N2K	DMBZMYT	DMBPNKT
GSM3507277	-0.011478484926288618	-0.11064371756919543	0.013912623607016493	-0.07215737426424337	-0.14352314799733842	-0.1669279647759215	-0.34598393923363535	0.4087721608190179	-0.09947029869211753	0.4143929035179862
GSM3507278	0.32282380229655105	0.45532101568579486	0.29887610252146324	0.43387185924813365	0.3812063424174429	0.4449265875049654	-0.16962097188751243	-0.5900396463609617	0.3715265271644435	-0.5666117706651198
GSM3507279	0.06709109773326477	0.1426450334751311	0.06741928335918787	0.14984239482741987	0.10952593846193635	0.12006140232924722	-0.28560611897066956	0.007953765512853391	0.10706480259789969	0.0016575513177440556
GSM3507280	0.05034354949659834	0.10162755383482121	0.04878324699521142	0.11599852310773935	0.11443754585899388	0.10364183231968856	-0.014861563217954307	-0.1129409662057649	0.1042803549979179	-0.05579855996842419
GSM3507281	-0.13944370664781286	-0.1127399168249229	-0.1254191053054238	-0.06037048702333574	-0.03315345010979925	-0.054117315535037604	0.126597966944166	0.02884007692618299	-0.042648788911364734	0.06823693590983103
GSM3507282	0.4027379689176045	0.4624326959824475	0.3965844935822256	0.4720960549031244	0.4260350990498169	0.46889061409940924	0.13381579236953592	-0.43647885535491504	0.4277793646848939	-0.4291532494397055
GSM3507283	0.024550391457385193	-0.019033732850043433	0.021339994569828245	0.03327886538289061	-0.09664953103691282	-0.06259261018642712	-0.45258967789873616	0.3225047127357242	-0.07929614838148379	0.3683697454148727
GSM3507284	-0.23890823621761614	-0.11887715277654484	-0.21997738265710404	-0.136405984476293	-0.07209683014065948	-0.12588796317225623	0.16588363628614114	-0.04780215298225686	-0.07042537496699443	-0.06456764788703369
GSM3507285	0.7136138531468773	0.6970261421528123	0.7011070524053175	0.7649740785212219	0.5774620984781108	0.675723066084311	-0.6116831154756976	-0.43702806609177336	0.5971237590764293	-0.394879433463867
GSM3507286	0.04770585602833299	0.1827334458148874	0.04200510584500205	0.15551210009809407	0.06786108383217634	0.12439205535610096	0.0215801584009918	-0.37890839630569606	0.10375225719894392	-0.3775108961927296
GSM3507287	1.0869738293922164	1.1662097225846	1.0480580926139076	1.1989133770046856	1.0464655552072453	1.1774210047864957	-0.5706673198292346	-1.0544311573824419	1.0404907503531404	-1.0038120324922837
GSM3507288	0.45082621079310536	0.40798162369462515	0.4512303328241155	0.40667126804457077	0.3607944170814976	0.38375819374892844	0.010266628225663743	-0.11151551102970211	0.3789150960180063	-0.07638381267736272
GSM3507289	0.6179404719354828	0.828055492104967	0.607658539817649	0.8560233874865641	0.7919020487280632	0.8680428664388654	-0.24599194059528126	-0.9292373023326859	0.7689268831434335	-0.9009526601928607
GSM3507290	-0.5858799664683165	-0.635803890344265	-0.5679598537797645	-0.6590631519680438	-0.5569091377876052	-0.6445475397679232	0.3096677824904088	0.4532842717059947	-0.5280788354961988	0.4158575232085454
